timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-04-11 00:48:00,112.8600,112.8600,112.6600,112.7000,13875.93,1744332539999,1564316.319800,1298,4537.56,511546.510200,0
2025-04-11 00:49:00,112.7000,112.7600,112.5600,112.5700,16048.73,1744332599999,1808145.306400,1479,5270.91,593953.670600,0
2025-04-11 00:50:00,112.5600,112.6200,112.4300,112.5100,28144.24,1744332659999,3166688.283100,2118,9442.81,1062425.234300,0
2025-04-11 00:51:00,112.5100,112.6100,112.4600,112.4600,18919.21,1744332719999,2129462.783100,1378,6119.00,688628.800600,0
2025-04-11 00:52:00,112.4600,112.4700,112.3100,112.4400,13277.52,1744332779999,1492200.190800,1499,5221.10,586788.323300,0
2025-04-11 00:53:00,112.4500,112.5600,112.4300,112.5500,15713.54,1744332839999,1767812.693800,1216,6031.24,678482.402200,0
2025-04-11 00:54:00,112.5400,112.5700,112.4000,112.4400,18490.81,1744332899999,2079746.568800,1632,6310.13,709763.934900,0
2025-04-11 00:55:00,112.4300,112.5400,112.3100,112.3900,18523.53,1744332959999,2083353.203500,1828,7016.67,789175.875000,0
2025-04-11 00:56:00,112.3900,112.3900,112.1900,112.2900,36739.94,1744333019999,4125333.437500,2483,15321.65,1720252.338100,0
2025-04-11 00:57:00,112.3000,112.3400,112.1500,112.1800,17748.27,1744333079999,1991738.997700,1620,8779.92,985305.230500,0
2025-04-11 00:58:00,112.1700,112.2600,112.1600,112.2300,17040.01,1744333139999,1912220.398000,1282,7356.16,825501.079100,0
2025-04-11 00:59:00,112.2200,112.2800,112.0900,112.2100,42140.86,1744333199999,4727644.195500,2428,15631.98,1753700.993700,0
2025-04-11 01:00:00,112.2100,112.4200,112.1500,112.3100,29483.72,1744333259999,3310740.264300,2689,11759.78,1320357.792300,0
2025-04-11 01:01:00,112.3000,112.3000,112.2000,112.2600,16347.76,1744333319999,1835100.298800,1573,7184.64,806449.926300,0
2025-04-11 01:02:00,112.2600,112.4400,112.2000,112.4300,17285.99,1744333379999,1941916.395900,1467,10534.04,1183206.466200,0
2025-04-11 01:03:00,112.4200,112.4200,112.1700,112.3200,25484.24,1744333439999,2861464.481100,1994,5916.61,664230.327700,0
2025-04-11 01:04:00,112.3100,112.3500,112.2000,112.2500,10814.19,1744333499999,1214224.323600,1101,4233.91,475349.071700,0
2025-04-11 01:05:00,112.2500,112.4400,112.2400,112.4300,9423.41,1744333559999,1058791.001400,1030,4219.50,474083.570000,0
2025-04-11 01:06:00,112.4300,112.5000,112.2700,112.5000,14164.20,1744333619999,1591734.734600,1281,8027.07,902065.570600,0
2025-04-11 01:07:00,112.5000,112.6800,112.4700,112.6600,27497.01,1744333679999,3094675.731000,1776,22505.49,2532976.227500,0
2025-04-11 01:08:00,112.6700,112.6900,112.5700,112.6300,9869.30,1744333739999,1111487.727800,932,4777.97,538075.328500,0
2025-04-11 01:09:00,112.6300,112.6500,112.4900,112.5100,8763.15,1744333799999,986588.953600,980,4531.34,510117.955900,0
2025-04-11 01:10:00,112.5100,112.6000,112.4500,112.6000,8722.29,1744333859999,981551.365900,940,6562.98,738582.617500,0
2025-04-11 01:11:00,112.6000,112.9200,112.6000,112.8500,22273.11,1744333919999,2512420.184400,1804,18208.43,2054084.649400,0
2025-04-11 01:12:00,112.8500,112.8600,112.6700,112.6800,8370.12,1744333979999,943950.552000,1023,3848.91,434023.023800,0
2025-04-11 01:13:00,112.6700,112.7400,112.5800,112.5800,6508.59,1744334039999,733327.737200,853,2138.51,240978.222300,0
2025-04-11 01:14:00,112.5800,112.7300,112.5600,112.7300,6961.30,1744334099999,784078.023700,604,5114.29,576070.689600,0
2025-04-11 01:15:00,112.7300,112.8900,112.7200,112.8700,10819.71,1744334159999,1220570.513600,1028,7740.65,873229.577900,0
2025-04-11 01:16:00,112.8700,112.9300,112.8000,112.9100,10307.19,1744334219999,1163396.874000,1106,6175.48,697019.675700,0
2025-04-11 01:17:00,112.9000,112.9200,112.7400,112.7800,7146.50,1744334279999,806157.455600,909,2867.13,323411.060900,0
2025-04-11 01:18:00,112.7700,113.0500,112.7500,113.0000,15195.73,1744334339999,1716927.664200,1610,9029.62,1020223.609800,0
