timestamp,order_book
2025-04-08T09:57:26.123702,"{""symbol"": ""BTC/USDT"", ""bids"": [[79490.56, 1.584], [79490.55, 0.00054], [79490.08, 0.00028], [79490.02, 0.00107], [79490.01, 0.00021], [79490.0, 0.07144], [79489.86, 7e-05], [79488.86, 0.00031], [79488.28, 7e-05], [79488.02, 0.00026], [79488.01, 0.08836], [79488.0, 0.07137], [79487.61, 0.0001], [79487.28, 0.00014], [79487.26, 0.02013], [79487.24, 0.00013], [79487.2, 0.05047], [79487.15, 8e-05], [79486.21, 8e-05], [79486.0, 0.07137]], ""asks"": [[79490.57, 3.91335], [79490.58, 0.00046], [79490.62, 7e-05], [79490.63, 0.00205], [79490.64, 0.00209], [79490.67, 7e-05], [79490.68, 7e-05], [79490.69, 0.00021], [79490.7, 0.62055], [79491.22, 0.00169], [79491.44, 7e-05], [79491.95, 0.00014], [79491.96, 0.72033], [79492.0, 1.45891], [79492.01, 0.12744], [79492.08, 0.0041], [79492.23, 7e-05], [79492.57, 0.11702], [79493.12, 0.00059], [79493.6, 0.05047]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058211262}"
2025-04-08T09:57:26.538058,"{""symbol"": ""BTC/USDT"", ""bids"": [[79490.56, 1.12676], [79490.55, 0.00054], [79490.08, 0.00028], [79490.02, 0.00107], [79490.01, 0.00021], [79490.0, 0.07144], [79489.86, 7e-05], [79489.56, 0.00015], [79488.86, 0.00016], [79488.02, 0.00026], [79488.01, 0.07181], [79488.0, 0.07137], [79487.61, 0.0001], [79487.28, 0.00014], [79487.26, 0.02013], [79487.24, 0.00013], [79487.2, 0.05047], [79487.15, 8e-05], [79487.02, 0.00201], [79486.21, 8e-05]], ""asks"": [[79490.57, 3.90856], [79490.58, 0.00046], [79490.62, 7e-05], [79490.63, 0.00205], [79490.64, 0.00209], [79490.67, 7e-05], [79490.68, 0.00021], [79490.69, 0.93465], [79490.7, 0.62055], [79491.44, 7e-05], [79492.0, 1.45891], [79492.01, 0.12744], [79492.08, 0.0041], [79492.23, 7e-05], [79492.57, 0.11702], [79493.12, 0.00228], [79493.6, 0.05047], [79493.97, 0.37677], [79494.13, 0.01781], [79494.7, 0.14242]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058211421}"
2025-04-08T09:57:26.951918,"{""symbol"": ""BTC/USDT"", ""bids"": [[79490.56, 1.12567], [79490.55, 0.00054], [79490.08, 0.00028], [79490.02, 0.00107], [79490.01, 0.00021], [79490.0, 0.07144], [79489.86, 7e-05], [79489.56, 0.00015], [79488.86, 0.00016], [79488.02, 0.00026], [79488.01, 0.07181], [79488.0, 0.07137], [79487.61, 0.0001], [79487.28, 0.00014], [79487.26, 0.02013], [79487.24, 0.00013], [79487.2, 0.05047], [79487.15, 8e-05], [79487.02, 0.00201], [79486.21, 8e-05]], ""asks"": [[79490.57, 3.90356], [79490.58, 0.00046], [79490.62, 7e-05], [79490.63, 0.00205], [79490.64, 0.00209], [79490.67, 7e-05], [79490.68, 0.00021], [79490.69, 0.93465], [79490.7, 0.62055], [79491.44, 7e-05], [79492.0, 1.45891], [79492.01, 0.12744], [79492.08, 0.0041], [79492.23, 7e-05], [79492.57, 0.11702], [79493.12, 0.00228], [79493.6, 0.05047], [79493.97, 0.37677], [79494.13, 0.01781], [79494.7, 0.14242]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058211519}"
2025-04-08T09:57:27.363884,"{""symbol"": ""BTC/USDT"", ""bids"": [[79490.56, 1.5151], [79490.55, 0.00054], [79490.47, 7e-05], [79490.08, 0.00028], [79490.02, 0.00107], [79490.01, 0.00021], [79490.0, 0.07144], [79489.36, 0.00015], [79488.86, 0.00016], [79488.02, 0.00026], [79488.01, 0.33705], [79488.0, 0.07137], [79487.91, 0.00202], [79487.61, 0.0001], [79487.28, 0.00014], [79487.26, 0.02013], [79487.24, 0.00013], [79487.2, 0.05047], [79487.15, 8e-05], [79487.01, 0.0283]], ""asks"": [[79490.57, 3.89396], [79490.58, 0.00046], [79490.62, 7e-05], [79490.63, 0.00205], [79490.64, 0.00209], [79490.67, 7e-05], [79490.68, 0.00021], [79490.69, 0.93465], [79490.7, 0.62055], [79491.44, 7e-05], [79492.0, 1.45891], [79492.01, 0.12744], [79492.08, 0.0041], [79492.23, 7e-05], [79492.57, 0.11702], [79493.12, 0.00228], [79493.6, 0.05047], [79493.97, 0.37677], [79494.13, 0.01781], [79494.7, 0.14242]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058211658}"
2025-04-08T09:57:27.777692,"{""symbol"": ""BTC/USDT"", ""bids"": [[79490.56, 1.1255], [79490.55, 0.00054], [79490.47, 7e-05], [79490.08, 0.00028], [79490.02, 0.00107], [79490.01, 0.00021], [79490.0, 0.07144], [79489.36, 0.00015], [79488.86, 0.00016], [79488.02, 0.00026], [79488.01, 0.33705], [79488.0, 0.07137], [79487.91, 0.00202], [79487.61, 0.0001], [79487.28, 0.00014], [79487.26, 0.02013], [79487.24, 0.00013], [79487.2, 0.05047], [79487.15, 8e-05], [79487.01, 0.0283]], ""asks"": [[79490.57, 3.48552], [79490.58, 0.00046], [79490.62, 7e-05], [79490.63, 0.00205], [79490.64, 0.00209], [79490.67, 7e-05], [79490.68, 0.00021], [79490.69, 0.93465], [79490.7, 0.62055], [79491.44, 7e-05], [79492.0, 1.45891], [79492.01, 0.12744], [79492.08, 0.0041], [79492.22, 0.02523], [79492.23, 7e-05], [79492.57, 0.11702], [79493.12, 0.00228], [79493.6, 0.05047], [79493.97, 0.37677], [79494.13, 0.01781]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058211728}"
2025-04-08T09:57:28.192836,"{""symbol"": ""BTC/USDT"", ""bids"": [[79490.56, 1.1255], [79490.55, 0.00054], [79490.47, 7e-05], [79490.08, 0.00028], [79490.02, 0.00107], [79490.01, 0.00021], [79490.0, 0.07144], [79489.93, 0.00015], [79488.86, 0.00016], [79488.02, 0.00026], [79488.01, 0.33705], [79488.0, 0.07137], [79487.91, 0.00202], [79487.61, 0.0001], [79487.28, 0.00014], [79487.26, 0.02013], [79487.24, 0.00013], [79487.2, 0.05047], [79487.15, 8e-05], [79487.01, 0.0283]], ""asks"": [[79490.57, 3.52816], [79490.58, 0.00046], [79490.62, 7e-05], [79490.63, 0.00205], [79490.64, 0.00209], [79490.67, 7e-05], [79490.68, 0.00021], [79490.69, 0.93465], [79490.7, 0.62055], [79491.44, 7e-05], [79492.0, 1.45891], [79492.01, 0.12744], [79492.08, 0.0041], [79492.22, 0.02523], [79492.23, 7e-05], [79492.57, 0.11702], [79493.12, 0.00228], [79493.6, 0.05047], [79493.97, 0.37677], [79494.13, 0.01781]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058211810}"
2025-04-08T09:57:28.608816,"{""symbol"": ""BTC/USDT"", ""bids"": [[79490.56, 0.01097], [79490.55, 0.00054], [79490.47, 7e-05], [79490.08, 0.00028], [79490.02, 0.00107], [79490.01, 7e-05], [79490.0, 7e-05], [79489.93, 7e-05], [79489.86, 7e-05], [79488.75, 0.00202], [79488.28, 7e-05], [79488.02, 0.00026], [79488.01, 0.00053], [79488.0, 0.07137], [79487.28, 0.00014], [79487.27, 0.00014], [79487.26, 0.02013], [79487.24, 0.00013], [79487.15, 8e-05], [79486.46, 8e-05]], ""asks"": [[79490.57, 5.37935], [79490.58, 0.00046], [79490.62, 7e-05], [79490.63, 0.00205], [79490.64, 0.00209], [79490.67, 0.00021], [79490.68, 0.37698], [79490.69, 1.35038], [79490.7, 0.62055], [79491.44, 7e-05], [79491.78, 0.04007], [79492.0, 1.45891], [79492.01, 0.12744], [79492.02, 0.0001], [79492.08, 0.0041], [79492.22, 0.02523], [79492.23, 7e-05], [79492.57, 0.11702], [79492.76, 0.06297], [79493.12, 0.00228]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058212146}"
2025-04-08T09:57:29.036682,"{""symbol"": ""BTC/USDT"", ""bids"": [[79490.56, 0.01081], [79490.55, 0.00054], [79490.47, 7e-05], [79490.08, 0.00028], [79490.02, 0.00107], [79490.01, 7e-05], [79490.0, 7e-05], [79489.93, 7e-05], [79489.86, 7e-05], [79488.75, 0.00202], [79488.28, 7e-05], [79488.02, 0.00026], [79488.01, 0.00039], [79487.28, 0.00014], [79487.27, 0.00014], [79487.26, 0.02013], [79487.24, 0.00013], [79487.15, 8e-05], [79486.69, 7e-05], [79486.46, 8e-05]], ""asks"": [[79490.57, 5.52434], [79490.58, 0.00046], [79490.62, 7e-05], [79490.63, 0.00205], [79490.64, 0.00209], [79490.67, 0.00021], [79490.68, 0.37698], [79490.69, 1.35038], [79490.7, 0.62055], [79491.39, 0.15335], [79491.78, 0.04007], [79492.0, 1.45891], [79492.01, 0.12744], [79492.02, 0.0001], [79492.08, 0.0041], [79492.22, 0.02523], [79492.23, 7e-05], [79492.57, 0.11702], [79492.76, 0.06297], [79493.12, 0.00228]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058212219}"
2025-04-08T09:57:29.450957,"{""symbol"": ""BTC/USDT"", ""bids"": [[79490.56, 0.01095], [79490.55, 0.00015], [79490.54, 0.00046], [79490.47, 7e-05], [79490.08, 0.00028], [79490.02, 0.00107], [79490.01, 7e-05], [79490.0, 7e-05], [79489.86, 7e-05], [79488.02, 0.00026], [79488.01, 0.00039], [79487.92, 0.00202], [79487.28, 0.00014], [79487.27, 0.00014], [79487.26, 0.02013], [79487.24, 0.00013], [79487.15, 8e-05], [79486.69, 7e-05], [79486.21, 8e-05], [79486.17, 8e-05]], ""asks"": [[79490.57, 5.52474], [79490.58, 7e-05], [79490.62, 7e-05], [79490.63, 0.00205], [79490.64, 0.00209], [79490.67, 0.00021], [79490.68, 0.37698], [79490.69, 1.35038], [79490.7, 0.62055], [79491.39, 0.15335], [79491.78, 0.04007], [79492.0, 1.45891], [79492.01, 0.12744], [79492.02, 0.0001], [79492.08, 0.0041], [79492.22, 0.02523], [79492.23, 7e-05], [79492.57, 0.11702], [79492.76, 0.06297], [79493.05, 0.0283]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058212321}"
2025-04-08T09:57:29.862764,"{""symbol"": ""BTC/USDT"", ""bids"": [[79482.0, 0.47616], [79481.99, 0.0004], [79481.97, 0.00033], [79481.19, 0.00062], [79481.18, 7e-05], [79481.17, 7e-05], [79481.14, 0.00014], [79480.91, 7e-05], [79480.76, 0.00014], [79480.75, 0.06026], [79480.74, 0.00199], [79480.7, 0.00037], [79480.35, 7e-05], [79480.01, 0.00014], [79480.0, 0.239], [79479.9, 0.1007], [79478.63, 0.0001], [79478.59, 0.02014], [79478.46, 8e-05], [79478.11, 0.00013]], ""asks"": [[79482.01, 4.2766], [79482.02, 0.02393], [79482.72, 7e-05], [79482.77, 7e-05], [79483.23, 7e-05], [79483.84, 0.00021], [79483.85, 0.16096], [79484.0, 0.00021], [79484.01, 0.62833], [79484.3, 7e-05], [79484.98, 0.00014], [79484.99, 3.4625], [79485.42, 0.01781], [79485.97, 0.01097], [79486.01, 0.09798], [79486.39, 0.0001], [79486.55, 0.00013], [79486.7, 0.6743], [79487.2, 0.05047], [79487.23, 0.37677]], ""timestamp"": null, ""datetime"": null, ""nonce"": 66058213965}"
