timestamp,open,high,low,close,order_book
2025-04-13 23:46:00,127.48,127.67,127.48,127.6,"{""timestamp"": ""2025-04-13T23:46:00"", ""bids"": [{""price"": 127.48, ""qty"": 1.0}], ""asks"": [{""price"": 127.67, ""qty"": 1.0}], ""last_price"": 127.6, ""volume"": 100.0}"
2025-04-13 23:47:00,127.6,127.71,127.55,127.65,"{""timestamp"": ""2025-04-13T23:47:00"", ""bids"": [{""price"": 127.55, ""qty"": 1.0}], ""asks"": [{""price"": 127.71, ""qty"": 1.0}], ""last_price"": 127.65, ""volume"": 100.0}"
2025-04-13 23:48:00,127.65,127.71,127.5,127.61,"{""timestamp"": ""2025-04-13T23:48:00"", ""bids"": [{""price"": 127.5, ""qty"": 1.0}], ""asks"": [{""price"": 127.71, ""qty"": 1.0}], ""last_price"": 127.61, ""volume"": 100.0}"
2025-04-13 23:49:00,127.61,127.76,127.57,127.75,"{""timestamp"": ""2025-04-13T23:49:00"", ""bids"": [{""price"": 127.57, ""qty"": 1.0}], ""asks"": [{""price"": 127.76, ""qty"": 1.0}], ""last_price"": 127.75, ""volume"": 100.0}"
2025-04-13 23:50:00,127.76,127.99,127.75,127.96,"{""timestamp"": ""2025-04-13T23:50:00"", ""bids"": [{""price"": 127.75, ""qty"": 1.0}], ""asks"": [{""price"": 127.99, ""qty"": 1.0}], ""last_price"": 127.96, ""volume"": 100.0}"
2025-04-13 23:51:00,127.97,128.42,127.95,128.4,"{""timestamp"": ""2025-04-13T23:51:00"", ""bids"": [{""price"": 127.95, ""qty"": 1.0}], ""asks"": [{""price"": 128.42, ""qty"": 1.0}], ""last_price"": 128.4, ""volume"": 100.0}"
2025-04-13 23:52:00,128.39,128.56,128.28,128.53,"{""timestamp"": ""2025-04-13T23:52:00"", ""bids"": [{""price"": 128.28, ""qty"": 1.0}], ""asks"": [{""price"": 128.56, ""qty"": 1.0}], ""last_price"": 128.53, ""volume"": 100.0}"
2025-04-13 23:53:00,128.53,128.53,128.39,128.4,"{""timestamp"": ""2025-04-13T23:53:00"", ""bids"": [{""price"": 128.39, ""qty"": 1.0}], ""asks"": [{""price"": 128.53, ""qty"": 1.0}], ""last_price"": 128.4, ""volume"": 100.0}"
2025-04-13 23:54:00,128.4,128.55,128.37,128.49,"{""timestamp"": ""2025-04-13T23:54:00"", ""bids"": [{""price"": 128.37, ""qty"": 1.0}], ""asks"": [{""price"": 128.55, ""qty"": 1.0}], ""last_price"": 128.49, ""volume"": 100.0}"
2025-04-13 23:55:00,128.5,128.74,128.33,128.73,"{""timestamp"": ""2025-04-13T23:55:00"", ""bids"": [{""price"": 128.33, ""qty"": 1.0}], ""asks"": [{""price"": 128.74, ""qty"": 1.0}], ""last_price"": 128.73, ""volume"": 100.0}"
2025-04-13 23:56:00,128.73,129.13,128.5,128.65,"{""timestamp"": ""2025-04-13T23:56:00"", ""bids"": [{""price"": 128.5, ""qty"": 1.0}], ""asks"": [{""price"": 129.13, ""qty"": 1.0}], ""last_price"": 128.65, ""volume"": 100.0}"
2025-04-13 23:57:00,128.65,128.8,128.4,128.4,"{""timestamp"": ""2025-04-13T23:57:00"", ""bids"": [{""price"": 128.4, ""qty"": 1.0}], ""asks"": [{""price"": 128.8, ""qty"": 1.0}], ""last_price"": 128.4, ""volume"": 100.0}"
2025-04-13 23:58:00,128.4,128.43,128.19,128.21,"{""timestamp"": ""2025-04-13T23:58:00"", ""bids"": [{""price"": 128.19, ""qty"": 1.0}], ""asks"": [{""price"": 128.43, ""qty"": 1.0}], ""last_price"": 128.21, ""volume"": 100.0}"
2025-04-13 23:59:00,128.21,128.31,128.21,128.3,"{""timestamp"": ""2025-04-13T23:59:00"", ""bids"": [{""price"": 128.21, ""qty"": 1.0}], ""asks"": [{""price"": 128.31, ""qty"": 1.0}], ""last_price"": 128.3, ""volume"": 100.0}"
2025-04-14 00:00:00,128.3,128.39,128.06,128.07,"{""timestamp"": ""2025-04-14T00:00:00"", ""bids"": [{""price"": 128.06, ""qty"": 1.0}], ""asks"": [{""price"": 128.39, ""qty"": 1.0}], ""last_price"": 128.07, ""volume"": 100.0}"
2025-04-14 00:01:00,128.06,128.34,127.9,128.16,"{""timestamp"": ""2025-04-14T00:01:00"", ""bids"": [{""price"": 127.9, ""qty"": 1.0}], ""asks"": [{""price"": 128.34, ""qty"": 1.0}], ""last_price"": 128.16, ""volume"": 100.0}"
2025-04-14 00:02:00,128.16,128.2,127.97,128.2,"{""timestamp"": ""2025-04-14T00:02:00"", ""bids"": [{""price"": 127.97, ""qty"": 1.0}], ""asks"": [{""price"": 128.2, ""qty"": 1.0}], ""last_price"": 128.2, ""volume"": 100.0}"
2025-04-14 00:03:00,128.2,128.71,128.17,128.52,"{""timestamp"": ""2025-04-14T00:03:00"", ""bids"": [{""price"": 128.17, ""qty"": 1.0}], ""asks"": [{""price"": 128.71, ""qty"": 1.0}], ""last_price"": 128.52, ""volume"": 100.0}"
2025-04-14 00:04:00,128.53,128.56,128.22,128.22,"{""timestamp"": ""2025-04-14T00:04:00"", ""bids"": [{""price"": 128.22, ""qty"": 1.0}], ""asks"": [{""price"": 128.56, ""qty"": 1.0}], ""last_price"": 128.22, ""volume"": 100.0}"
2025-04-14 00:05:00,128.22,128.32,128.09,128.14,"{""timestamp"": ""2025-04-14T00:05:00"", ""bids"": [{""price"": 128.09, ""qty"": 1.0}], ""asks"": [{""price"": 128.32, ""qty"": 1.0}], ""last_price"": 128.14, ""volume"": 100.0}"
2025-04-14 00:06:00,128.14,128.42,128.14,128.37,"{""timestamp"": ""2025-04-14T00:06:00"", ""bids"": [{""price"": 128.14, ""qty"": 1.0}], ""asks"": [{""price"": 128.42, ""qty"": 1.0}], ""last_price"": 128.37, ""volume"": 100.0}"
2025-04-14 00:07:00,128.38,128.67,128.34,128.58,"{""timestamp"": ""2025-04-14T00:07:00"", ""bids"": [{""price"": 128.34, ""qty"": 1.0}], ""asks"": [{""price"": 128.67, ""qty"": 1.0}], ""last_price"": 128.58, ""volume"": 100.0}"
2025-04-14 00:08:00,128.58,128.9,128.56,128.86,"{""timestamp"": ""2025-04-14T00:08:00"", ""bids"": [{""price"": 128.56, ""qty"": 1.0}], ""asks"": [{""price"": 128.9, ""qty"": 1.0}], ""last_price"": 128.86, ""volume"": 100.0}"
2025-04-14 00:09:00,128.86,128.99,128.82,128.89,"{""timestamp"": ""2025-04-14T00:09:00"", ""bids"": [{""price"": 128.82, ""qty"": 1.0}], ""asks"": [{""price"": 128.99, ""qty"": 1.0}], ""last_price"": 128.89, ""volume"": 100.0}"
2025-04-14 00:10:00,128.9,129.04,128.76,128.84,"{""timestamp"": ""2025-04-14T00:10:00"", ""bids"": [{""price"": 128.76, ""qty"": 1.0}], ""asks"": [{""price"": 129.04, ""qty"": 1.0}], ""last_price"": 128.84, ""volume"": 100.0}"
2025-04-14 00:11:00,128.84,129.4,128.84,129.17,"{""timestamp"": ""2025-04-14T00:11:00"", ""bids"": [{""price"": 128.84, ""qty"": 1.0}], ""asks"": [{""price"": 129.4, ""qty"": 1.0}], ""last_price"": 129.17, ""volume"": 100.0}"
